albumtitle,artist,spotify_id
the record,boygenius,0e9GjrztzBw8oMC6n2CDeI
"Desire,I Want to Turn Into You",Carilone Polachek,22PkV1Le9P3X4RY4xtmK0q
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,5HOHne1wzItQlIYmLXLYfZ
Javelin,Sufjan Stevens,2KqSL3vLfyVO7rrZJL9tUs
GUTS,Olivia Rodrigo,1xJHno7SmdVtZAtXbdbDZp
The Land Is Inhospitable and So Are We,Mitski,2Cn1d2KgbkAqbZCJ1RzdkA
Rat Saw God,Wednesday,1oTR3aC0jYmwUlr9duBi05
Maps,billy wooods & Kenny Segal,3VoX4iyvy7et6Qt47e2XwS
False Lankum,Lankum,2lu7c86G1ptjMJVL9upG1H
SCARING THE HOES,JPEGMAFIA & Danny Brown,3u20OXh03DjCUzbf8XcGTq
Heavy Heavy,Young Fathers,6CmlLROLOUJZnZ8QeCCpqD
My Back Was A Bridge For You To Cross,ANOHNI and the Johnsons,4g6x7cqgxfkuqA8lfvIKMf
Raven,Kelela,06uhdSmIYrWRkdnAPjcRcT
I Inside the Old Year Dying,PJ Harvey,2ik9ifrDdzxRsJU9fy9TFc
This Is Why,Paramore,6tG8sCK4htJOLjlWwb7gZB
That! Feels Good!,Jessie Ware,17g3sAeWfpHSJlqMHuRAr6
The Ballad of Darren,Blur,0gIZSG9WUDO3TK0B5y7UtU
SOS,SZA,07w0rG5TETcyihsEIZR3qG
Fountain Baby,Amaarae,3dKdkVeR6hPjAOH5K2nYTh
100 gecs,10000 gecs,2XS5McKf3zdJWpcZ4OkZPZ
everything is alive,Slowdive,2jSmcj39eQiU76EbMGuxS0
Sundial,Noname,1RThtoZbeE7OQHMBzaBCJt
Lahai,Sampha,5GuWww4OaildzkmTTlfMN3