title,link_type,url
BRAT,spotify,https://open.spotify.com/album/2lIZef4lzdvZkiiCzvPKj7
Romance,spotify,https://open.spotify.com/album/287QQ922OsJYh8aFNGdJG5
Songs Of A Lost World,spotify,https://open.spotify.com/album/4wjxmqXnSQvBZWL3IbYngX
Manning Fireworks,spotify,https://open.spotify.com/album/1bKiiYGt1fzm9YMlTnUqpN
COWBOY CARTER,spotify,https://open.spotify.com/album/6BzxX6zkDsYKFJ04ziU5xQ
HIT ME HARD AND SOFT,spotify,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Diamond Jubilee,youtube,https://youtu.be/_LJi5na897Y?si=6sT06t7fFJ4krLgk
Tigers Blood,spotify,https://open.spotify.com/album/2n3HUMLmNl0Cm2atVwWSK6
GNX,spotify,https://open.spotify.com/album/0hvT3yIEysuuvkK73vgdcW
CHROMAKOPIA,spotify,https://open.spotify.com/album/0U28P0QVB1QRxpqp5IHOlH
Here in the Pitch,spotify,https://open.spotify.com/album/7hUAyfpXkSE2JT5gOORZO0
Short n' Sweet,spotify,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH
I Got Heaven,spotify,https://open.spotify.com/album/5ROzqM7rbMYoKbQIw4i7fp
The Collective,spotify,https://open.spotify.com/album/4j9UADX3wZtXWolDNT3y3x
Two Star & The Dream Police,spotify,https://open.spotify.com/album/6DlLdXBGCsSDPOV8R2pCl7
Bright Future,spotify,https://open.spotify.com/album/2Y8WS7iDIZkvzB5GUeLvku
Charm,spotify,https://open.spotify.com/album/1KNUCVXgIxKUGiuEB8eG0i
This Could Be Texas,spotify,https://open.spotify.com/album/4gd3XcQ7dR37m8GimBfiYT
Imaginal Disk,spotify,https://open.spotify.com/album/4HTy9WFTYooRjE9giTmzAF
Wild God,spotify,https://open.spotify.com/album/0TRr4JGEPJ4eAb5QKRaunf
Prelude to Ecstasy,spotify,https://open.spotify.com/album/1ycq58KRtWt3wFtbuIkvLn
Alligator Bites Never Heal,spotify,https://open.spotify.com/album/60UzB8mOCMpc7xkuJE6Bwc
Only God Was Above Us,spotify,https://open.spotify.com/album/1W04wu2W4OIcuiNc5AMB3y
Lives Outgrown,spotify,https://open.spotify.com/album/0YC5MWwUmsTpJrRumtBdZA
No Name,spotify,https://open.spotify.com/album/4j6OkbZmVIqJYDLJbiWHbX
Endlessness,spotify,https://open.spotify.com/album/51CQQ3tQLRZlZJZ5jcpoGE
My Method Actor,spotify,https://open.spotify.com/album/4BBVZgRsWeNVgGmub6LY3p
Mahashmashana,spotify,https://open.spotify.com/album/2oJHtuXrCJ0KMH5GrC6Qdw
Absolute Elsewhere,spotify,https://open.spotify.com/album/7hriIeLMviZKpNfcXgpsd8
In Waves,spotify,https://open.spotify.com/album/57MSBg5pBQZH5bfLVDmeuP
BRAT,tidal,https://tidal.com/album/367578589
Romance,tidal,https://tidal.com/album/378695864
Songs Of A Lost World,tidal,https://tidal.com/album/395993106
Manning Fireworks,tidal,https://tidal.com/album/366083178
COWBOY CARTER,tidal,https://tidal.com/album/353983134
HIT ME HARD AND SOFT,tidal,https://tidal.com/album/363236461
Tigers Blood,tidal,https://tidal.com/album/336429538
GNX,tidal,https://tidal.com/album/401317276
CHROMAKOPIA,tidal,https://tidal.com/album/396116612
Here in the Pitch,tidal,https://tidal.com/album/340669556
Short n' Sweet,tidal,https://tidal.com/album/382239441
I Got Heaven,tidal,https://tidal.com/album/317215027
The Collective,tidal,https://tidal.com/album/387860190
Two Star & The Dream Police,tidal,https://tidal.com/album/340247378
Bright Future,tidal,https://tidal.com/album/348182611
Charm,tidal,https://tidal.com/album/358466304
This Could Be Texas,tidal,https://tidal.com/album/355473501
Imaginal Disk,tidal,https://tidal.com/album/381984572
Wild God,tidal,https://tidal.com/album/384178540
Prelude to Ecstasy,tidal,https://tidal.com/album/342043044
Alligator Bites Never Heal,tidal,https://tidal.com/album/382890848
Only God Was Above Us,tidal,https://tidal.com/album/354739038
Lives Outgrown,tidal,https://tidal.com/album/363340896
No Name,tidal,https://tidal.com/album/378186214
Endlessness,tidal,https://tidal.com/album/370239857
My Method Actor,tidal,https://tidal.com/album/368529995
Mahashmashana,tidal,https://tidal.com/album/381007649
Absolute Elsewhere,tidal,https://tidal.com/album/373991284
In Waves,tidal,https://tidal.com/album/384119619